timestamp,tx,ty,tz,qx,qy,qz,qw
0.000000,759329.963670,2524407.619397,38.655761,-0.052731,-0.025226,0.430813,0.900546
0.020000,759329.938272,2524407.639809,38.652170,-0.053477,-0.025572,0.430637,0.900577
0.040000,759329.912883,2524407.660243,38.648453,-0.054196,-0.025904,0.430462,0.900607
0.060000,759329.887501,2524407.680700,38.644616,-0.054888,-0.026223,0.430290,0.900639
0.080000,759329.862128,2524407.701180,38.640666,-0.055552,-0.026529,0.430119,0.900671
0.100000,759329.836763,2524407.721681,38.636607,-0.056189,-0.026822,0.429949,0.900704
0.120000,759329.811406,2524407.742205,38.632447,-0.057529,-0.027438,0.429606,0.900764
0.140000,759329.786056,2524407.762751,38.628190,-0.058787,-0.028014,0.429267,0.900827
0.160000,759329.760714,2524407.783319,38.623844,-0.059963,-0.028550,0.428934,0.900891
0.180000,759329.735380,2524407.803908,38.619414,-0.061057,-0.029046,0.428606,0.900958
0.200000,759329.710053,2524407.824518,38.614905,-0.062070,-0.029503,0.428283,0.901027
0.220000,759329.684733,2524407.845149,38.610324,-0.063000,-0.029921,0.427966,0.901100
0.240000,759329.659420,2524407.865801,38.605677,-0.063850,-0.030300,0.427656,0.901175
0.260000,759329.634114,2524407.886474,38.600970,-0.064618,-0.030640,0.427351,0.901253
0.280000,759329.608815,2524407.907168,38.596209,-0.065305,-0.030942,0.427051,0.901335
0.300000,759329.583522,2524407.927881,38.591399,-0.065911,-0.031204,0.426758,0.901421
0.320000,759329.558236,2524407.948615,38.586547,-0.066437,-0.031429,0.426472,0.901510
0.340000,759329.532956,2524407.969369,38.581658,-0.066882,-0.031615,0.426191,0.901603
0.360000,759329.507682,2524407.990142,38.576739,-0.067246,-0.031763,0.425916,0.901701
0.380000,759329.482414,2524408.010935,38.571796,-0.067529,-0.031874,0.425648,0.901802
0.400000,759329.457153,2524408.031747,38.566834,-0.067732,-0.031946,0.425386,0.901908
0.420000,759329.431897,2524408.052578,38.561859,-0.067855,-0.031981,0.425130,0.902018
0.440000,759329.406646,2524408.073428,38.556878,-0.067897,-0.031978,0.424881,0.902133
0.460000,759329.381401,2524408.094297,38.551896,-0.067860,-0.031938,0.424637,0.902252
0.480000,759329.356162,2524408.115184,38.546919,-0.067741,-0.031860,0.424401,0.902375
0.500000,759329.330928,2524408.136090,38.541954,-0.067543,-0.031745,0.424170,0.902502
0.520000,759329.305698,2524408.157013,38.537005,-0.067264,-0.031592,0.423945,0.902634
0.540000,759329.280474,2524408.177955,38.532080,-0.066905,-0.031403,0.423727,0.902770
0.560000,759329.255254,2524408.198914,38.527184,-0.066466,-0.031176,0.423515,0.902909
0.580000,759329.230040,2524408.219891,38.522323,-0.065946,-0.030912,0.423309,0.903053
0.600000,759329.204829,2524408.240885,38.517503,-0.065346,-0.030611,0.423109,0.903201
