timestamp,tx,ty,tz,qx,qy,qz,qw
0.000000,759323.753426,2524415.069911,38.419122,0.002557,0.007345,0.944359,0.328826
0.010000,759323.743864,2524415.058672,38.419361,0.002499,0.007278,0.945759,0.324777
0.020000,759323.734491,2524415.047255,38.419595,0.002442,0.007210,0.947134,0.320747
0.030000,759323.725307,2524415.035663,38.419825,0.002385,0.007142,0.948483,0.316738
0.040000,759323.716311,2524415.023898,38.420051,0.002329,0.007074,0.949807,0.312749
0.050000,759323.707502,2524415.011961,38.420272,0.002274,0.007005,0.951105,0.308780
0.060000,759323.698879,2524414.999856,38.420488,0.002165,0.006864,0.953660,0.300799
0.070000,759323.690443,2524414.987584,38.420700,0.002059,0.006721,0.956121,0.292888
0.080000,759323.682191,2524414.975147,38.420907,0.001956,0.006577,0.958489,0.285048
0.090000,759323.674124,2524414.962549,38.421110,0.001856,0.006432,0.960765,0.277283
0.100000,759323.666241,2524414.949790,38.421308,0.001760,0.006285,0.962952,0.269595
0.110000,759323.658541,2524414.936873,38.421502,0.001666,0.006137,0.965051,0.261986
0.120000,759323.651023,2524414.923801,38.421691,0.001576,0.005988,0.967064,0.254458
0.130000,759323.643687,2524414.910575,38.421875,0.001488,0.005839,0.968994,0.247012
0.140000,759323.636533,2524414.897198,38.422056,0.001404,0.005689,0.970842,0.239649
0.150000,759323.629558,2524414.883671,38.422231,0.001323,0.005538,0.972611,0.232370
0.160000,759323.622764,2524414.869998,38.422403,0.001245,0.005388,0.974302,0.225178
0.170000,759323.616148,2524414.856181,38.422569,0.001170,0.005237,0.975918,0.218071
0.180000,759323.609711,2524414.842221,38.422732,0.001098,0.005086,0.977461,0.211051
0.190000,759323.603452,2524414.828120,38.422890,0.001029,0.004936,0.978933,0.204119
0.200000,759323.597369,2524414.813882,38.423043,0.000963,0.004785,0.980336,0.197273
0.210000,759323.591463,2524414.799508,38.423192,0.000900,0.004635,0.981673,0.190515
0.220000,759323.585733,2524414.785000,38.423337,0.000839,0.004486,0.982945,0.183844
0.230000,759323.580177,2524414.770360,38.423477,0.000781,0.004336,0.984154,0.177260
0.240000,759323.574796,2524414.755592,38.423613,0.000726,0.004188,0.985303,0.170762
0.250000,759323.569588,2524414.740696,38.423745,0.000673,0.004040,0.986393,0.164351
0.260000,759323.564554,2524414.725676,38.423872,0.000623,0.003893,0.987427,0.158025
0.270000,759323.559691,2524414.710533,38.423995,0.000575,0.003747,0.988406,0.151784
0.280000,759323.555000,2524414.695270,38.424114,0.000530,0.003602,0.989333,0.145627
0.290000,759323.550480,2524414.679888,38.424228,0.000487,0.003458,0.990209,0.139552
0.300000,759323.546131,2524414.664390,38.424338,0.000447,0.003314,0.991035,0.133560
0.310000,759323.541951,2524414.648779,38.424443,0.000408,0.003172,0.991814,0.127650
0.320000,759323.537939,2524414.633056,38.424545,0.000372,0.003030,0.992548,0.121819
0.330000,759323.534096,2524414.617223,38.424642,0.000338,0.002890,0.993237,0.116067
0.340000,759323.530420,2524414.601284,38.424735,0.000306,0.002751,0.993884,0.110393
0.350000,759323.526912,2524414.585239,38.424823,0.000275,0.002613,0.994490,0.104795
