x,y,z
15.658549,49.095843,0
14.087824,48.867175,0
12.729891,48.297027,0.097103
11.609882,47.469342,0.5883
10.752924,46.468065,1.285085
10.184147,45.377141,2.112068
9.916226,44.267521,3.001657
9.905233,43.151104,3.921712
10.091166,42.023018,4.85016
10.414022,40.878392,5.764926
10.813798,39.712354,6.64394
11.24069,38.521308,7.46929
11.684457,37.306606,8.239225
12.14445,36.070802,8.955907
12.620022,34.816447,9.6215
13.110525,33.546094,10.238168
13.615311,32.262296,10.808075
14.133734,30.967604,11.333385
14.665145,29.664572,11.81626
15.208897,28.355752,12.258865
15.763803,27.043024,12.663215
16.326243,25.725225,13.030647
16.891907,24.400332,13.362309
17.456484,23.066322,13.659349
18.015666,21.721172,13.922914
18.565143,20.362858,14.154151
19.100604,18.989358,14.354208
19.61774,17.598648,14.524233
20.112241,16.188705,14.665371
20.579798,14.757506,14.778772
21.020609,13.306058,14.865894
21.453988,11.848221,14.929516
21.904312,10.401254,14.972768
22.395957,8.98242,14.998779
22.9533,7.608981,15.010678
23.600717,6.298198,15.011595
24.362585,5.067332,15.004659
25.26328,3.933645,14.993
26.32718,2.914399,14.979746
27.565724,2.032321,14.967911
28.935493,1.333309,14.960019
30.378531,0.869407,14.958462
31.836882,0.692654,14.965635
33.252589,0.855091,14.98393
34.573784,1.386052,15.013249
35.770154,2.2345,15.044673
36.816148,3.331629,15.067335
37.686217,4.608631,15.070368
38.354811,5.996701,15.042902
38.812059,7.434106,14.974411
39.118236,8.890775,14.855893
39.353223,10.345485,14.678772
39.596903,11.777011,14.434472
39.929159,13.164133,14.114416
40.41098,14.489979,13.713271
41.024647,15.755821,13.23921
41.731948,16.96765,12.703922
42.494669,18.131457,12.119095
43.280927,19.252946,11.495549
44.084156,20.336667,10.840617
44.904116,21.386881,10.16076
45.740567,22.40785,9.462441
46.593268,23.403834,8.752122
47.461979,24.379095,8.036266
48.346461,25.337895,7.321336
49.246473,26.284494,6.613792
50.161775,27.223155,5.920099
51.092126,28.158137,5.246718
52.037287,29.093703,4.600111
52.997017,30.034114,3.986741
53.971076,30.983632,3.41307
54.959224,31.946516,2.885561
55.961221,32.92703,2.410676
56.976826,33.929433,1.994877
58.0058,34.957988,1.644627
59.047902,36.016956,1.366387
60.099086,37.110021,1.163798
61.139786,38.238511,1.028987
62.146485,39.403158,1
63.095662,40.60469,1
63.963798,41.843838,1
64.727375,43.121331,1
65.362872,44.437898,1
65.846772,45.794271,1
66.155554,47.191178,1
66.265701,48.629349,1
66.160002,50.102085,1
65.845822,51.573765,1
65.336502,53.001729,1
64.645382,54.343318,0.974891
63.785805,55.555873,0.937517
62.771111,56.596734,0.914591
61.614644,57.423242,0.91486
60.329743,57.992737,0.947071
58.929751,58.262561,1.019972
57.436636,58.203766,1.142733
55.913391,57.852604,1.326533
54.435183,57.264679,1.583147
53.077184,56.495601,1.924349
51.914564,55.600978,2.361915
51.004306,54.629092,2.90333
50.315304,53.592741,3.535312
49.789826,52.493997,4.238299
49.370133,51.334928,4.992729
48.998485,50.117604,5.779039
48.622295,48.848068,6.578274
48.214045,47.551703,7.37445
47.753829,46.259763,8.15248
47.221744,45.003507,8.897279
46.597886,43.814193,9.593763
45.862353,42.723076,10.226844
44.99524,41.761415,10.78144
43.976645,40.960467,11.242463
42.786665,40.351489,11.594829
41.417765,39.949326,11.829447
39.919059,39.693668,11.964675
38.355863,39.502706,12.026723
36.793493,39.294628,12.041803
35.297268,38.987625,12.036124
33.920728,38.513418,12.032549
32.649296,37.882011,12.034567
31.443958,37.13149,12.038718
30.26567,36.299976,12.041532
29.075384,35.425594,12.03954
27.846222,34.537955,12.030371
26.599024,33.633304,12.015956
25.366327,32.699703,11.999285
24.180666,31.725216,11.983345
23.07458,30.697904,11.971125
22.080605,29.60583,11.965613
21.231277,28.437058,11.969796
20.559134,27.179651,11.986665
20.096713,25.82167,12.019205
19.870611,24.363792,12.065508
19.884826,22.854699,12
20.137976,21.354491,12
20.62868,19.923271,12.063703
21.35556,18.621138,11.932898
22.311075,17.501642,11.7053
23.456914,16.585597,11.415632
24.745173,15.883609,11.11413
26.127943,15.406283,10.851033
27.561329,15.156965,10.662736
29.021852,15.102047,10.515138
30.492517,15.196192,10.351759
31.956332,15.394056,10.116108
33.396306,15.650296,9.751697
34.800624,15.92051,9.226873
36.181709,16.164704,8.626235
37.559068,16.344173,8.068363
38.952208,16.42021,7.671843
40.376232,16.361932,7.530516
41.823291,16.179195,7.609374
43.278089,15.895074,7.831593
44.725326,15.532653,8.120331
46.149702,15.115013,8.398741
47.54001,14.662757,8.599786
48.902268,14.186051,8.697687
50.247019,13.692316,8.677515
51.58481,13.188974,8.524345
52.926187,12.683446,8.223251
54.279892,12.190884,7.777411
55.648694,11.752092,7.250087
57.03412,11.413191,6.716995
58.437696,11.220302,6.253851
59.86095,11.219546,6
61.296497,11.447254,6
62.704596,11.904221,6
64.03817,12.58318,6
65.250141,13.476863,6.03221
66.29516,14.570781,6.080952
67.133863,15.825444,6.083445
67.72818,17.195954,6.057225
68.040039,18.637415,6.019828
68.031372,20.104932,5.98879
67.681143,21.553561,5.977064
67.031916,22.938186,5.980502
66.141093,24.21365,5.990961
65.066076,25.334796,6.0003
63.864266,26.256467,6.000377
62.587186,26.942394,5.984105
61.254014,27.405219,5.950191
59.872857,27.674315,5.899323
58.451817,27.779073,5.832193
56.998991,27.74888,5.749492
55.522482,27.613126,5.651911
54.030387,27.4012,5.540141
52.530807,27.14249,5.414873
51.031842,26.866385,5.276799
49.539955,26.596591,5.126783
48.055729,26.336397,4.966317
46.578429,26.084508,4.79703
45.10732,25.839633,4.620554
43.641666,25.600476,4.438519
42.180732,25.365744,4.252556
40.723783,25.134144,4.064296
39.270081,24.904381,3.87537
37.818893,24.675163,3.687408
36.369483,24.445195,3.502041
34.921114,24.213183,3.320901
33.473052,23.977835,3.145617
32.024562,23.737856,2.977821
30.574906,23.491953,2.819143
29.123351,23.238832,2.671214
27.66916,22.977199,2.535665
26.211598,22.70576,2.414126
24.74993,22.423223,2.308229
23.283419,22.128293,2.219605
21.811633,21.823198,2.149221
20.335286,21.523588,2.095524
18.855369,21.248314,2.056358
17.372871,21.016225,2.029566
15.888783,20.846173,2.012993
14.404093,20.757007,2.004483
12.919793,20.767577,2.00188
11.436871,20.896734,2.003028
9.956317,21.163328,2.005771
8.489162,21.584855,2.010015
7.091756,22.172701,2.024974
5.833236,22.93653,2.06249
4.782739,23.886005,2.134401
4.009396,25.030785,2.252548
3.556845,26.365361,2.422868
3.382512,27.832933,2.631348
3.425619,29.365867,2.85976
3.62539,30.896533,3.089877
3.932205,32.369314,3.305644
4.34339,33.779155,3.500155
4.868621,35.134301,3.668906
5.517573,36.442996,3.807396
6.299921,37.713485,3.911124
7.221079,38.940562,3.977739
8.27067,40.069166,4.012871
9.434658,41.032687,4.024
10.699006,41.764513,4.018604
12.049677,42.198033,4.004161
13.467617,42.286873,3.987746
14.914056,42.064159,3.974848
16.345384,41.582537,3.970565
17.71799,40.894656,3.979995
18.988262,40.053162,4.008238
20.126246,39.105442,4.053884
21.157609,38.07746,4.089009
22.122181,36.989723,4.078941
23.05979,35.862736,3.989006
24.005018,34.717196,3.794132
24.970753,33.574572,3.508923
25.964275,32.456531,3.15824
26.992867,31.384745,2.766939
28.063812,30.38088,2.35988
29.184391,29.466608,1.961919
30.361887,28.663596,1.597916
31.603581,27.993514,1.292729
32.916756,27.478031,1.071216
34.304485,27.132363,1
35.752645,26.945361,1
37.242727,26.899149,1
38.756218,26.975847,1
40.274606,27.157578,1.011648
41.778729,27.433305,1.035068
43.247086,27.816494,1.040369
44.657654,28.3261,1.034596
45.988409,28.981077,1.024794
47.218878,29.795211,1.016634
48.335985,30.757607,1.009236
49.328858,31.850015,0.999763
50.186627,33.054182,0.985381
50.89842,34.351857,0.963254
51.453368,35.724788,0.930546
51.840599,37.154721,0.884422
52.049242,38.623406,0.822046
52.068427,40.11259,0.740582
51.887283,41.604021,0.637195
51.498779,43.073397,0.512075
50.909581,44.47484,0.376202
50.129407,45.75766,0.242961
49.167977,46.871169,0.125737
48.035007,47.764679,0.037916
46.745573,48.403432,0
45.337742,48.821077,0
43.85575,49.069616,0
42.343835,49.20105,0
40.837572,49.260647,-0.001532
39.341066,49.269199,0.007041
37.851276,49.241944,0
36.365162,49.194118,0
34.879684,49.140958,0
33.392411,49.095558,0.008842
31.903325,49.062576,0.002175
30.412998,49.044586,-0.004421
28.922007,49.044166,-0.008982
27.430841,49.062144,-0.010068
25.939676,49.092602,-0.008273
24.448608,49.127997,-0.004682
22.957736,49.160784,-0.000378
21.467158,49.18342,0.003556
19.976969,49.188359,0.006037
18.487269,49.168059,0.005979
16.998155,49.114974,0.002301
15.658549,49.095843,0
