x,y,z
256.2969,-0.028854,286.2567
241.3138,-0.022692,286.3658
216.17,-0.017129,286.4734
191.9062,-0.012223,286.5793
168.5488,-0.00803,286.6826
146.1386,-0.00461,286.7831
124.7115,-0.002022,286.8803
104.3036,-0.000321,286.9735
84.95093,0.000438,287.0623
66.64115,0.000273,287.1467
49.35236,-0.000765,287.2267
33.05836,-0.002621,287.3023
17.73297,0,287.3737
3.352776,0,287.4408
-10.11408,0,287.5037
-22.69085,0,287.5625
-34.40369,0,287.6173
-45.27879,0,287.6681
-55.34042,0,287.715
-64.61873,0,287.7581
-73.13783,0,287.7973
-80.92387,0,287.8328
-88.00307,0,287.8647
-94.40157,0,287.893
-100.1445,0,287.9177
-105.2603,0,287.9389
-109.7739,0,287.9568
-113.7115,0,287.9713
-117.0994,0,287.9825
-119.9631,0,287.9904
-122.3299,0,287.9952
-124.2255,0,287.997
-125.6759,0,287.9957
-126.7074,0,287.9914
-127.3461,0,287.9842
-127.6184,0,287.9742
-128.6184,0,287.9742
-129.1123,0.026887,287.9742
-133.1509,0.026944,287.9742
-137.3553,0.026897,287.9742
-141.7194,0.026751,287.9742
-146.2368,0.026512,287.9742
-150.9013,0.026183,287.9742
-155.7067,0.02577,287.9742
-160.6466,0.025277,287.9742
-165.7148,0.024709,287.9742
-170.9051,0.024071,287.9742
-176.2111,0.023366,287.9742
-181.6266,0.022601,287.9742
-187.1453,0.021779,287.9742
-192.7609,0.020905,287.9742
-198.4673,0.019984,287.9742
-204.2581,0.01902,287.9742
-210.127,0.018019,287.9742
-216.0678,0.016984,287.9742
-222.0742,0.015921,287.9742
-228.14,0.014834,287.9742
-234.2589,0.013728,287.9742
-240.4245,0.012608,287.9742
-246.6307,0.011477,287.9742
-252.8712,0.010342,287.9742
-259.1396,0.009206,287.9742
-265.4299,0.008074,287.9742
-271.7356,0.006951,287.9742
-278.0505,0.005842,287.9742
-284.3683,0.004751,287.9742
-290.6829,0.003683,287.9742
-296.9878,0.002642,287.7202
-303.2768,0.001634,287.5298
-309.5437,0.000662,287.3381
-315.7823,-0.000268,287.1451
-321.9887,-0.001154,287.0499
-328.164,-0.001995,287.05
-334.3092,-0.002793,287.0431
-340.4255,-0.003548,287.0266
-346.5143,-0.00426,286.9981
-352.5768,-0.00493,286.9552
-358.614,-0.005559,286.8954
-364.6273,-0.006146,286.8162
-370.6179,-0.006694,286.7152
-376.587,-0.007201,286.5899
-382.5358,-0.007669,286.4379
-388.4656,-0.008098,286.2567
-394.3775,-0.008489,286.0437
-400.2728,-0.008843,285.7967
-406.1526,-0.009159,285.5131
-412.0183,-0.009438,285.1904
-417.8711,-0.009681,284.8262
-423.7121,-0.009889,284.4181
-429.5425,-0.010062,283.9635
-435.3637,-0.0102,283.4601
-441.1768,-0.010304,282.9052
