timestamp,tx,ty,tz,qx,qy,qz,qw
0.000000,0.000000,0.000000,0.000000,0.014402,0.012873,0.666309,0.745426
0.016667,-0.016550,0.001861,0.000644,0.014402,0.012873,0.666309,0.745426
0.033333,-0.033100,0.003722,0.001288,0.014270,0.012770,0.666711,0.745070
0.050000,-0.049650,0.005583,0.001931,0.014141,0.012667,0.667107,0.744720
0.066667,-0.066200,0.007443,0.002575,0.014040,0.012587,0.667416,0.744447
0.083333,-0.082750,0.009304,0.003219,0.013960,0.012524,0.667662,0.744228
0.100000,-0.099300,0.011165,0.003863,0.013843,0.012431,0.668019,0.743912
0.116667,-0.115864,0.012902,0.004467,0.013727,0.012338,0.668376,0.743595
0.133333,-0.132433,0.014605,0.005062,0.013545,0.012193,0.668932,0.743100
0.150000,-0.149002,0.016308,0.005656,0.013315,0.012009,0.669633,0.742475
0.166667,-0.165571,0.018011,0.006250,0.013086,0.011825,0.670334,0.741850
0.183333,-0.182140,0.019714,0.006844,0.012858,0.011640,0.671033,0.741224
0.200000,-0.198708,0.021417,0.007439,0.012720,0.011529,0.671453,0.740849
0.216667,-0.215287,0.023031,0.008005,0.012607,0.011437,0.671797,0.740540
0.233333,-0.231872,0.024581,0.008551,0.012454,0.011312,0.672265,0.740119
0.250000,-0.248458,0.026131,0.009097,0.012232,0.011130,0.672940,0.739512
0.266667,-0.265043,0.027681,0.009643,0.012010,0.010949,0.673615,0.738904
0.283333,-0.281629,0.029231,0.010189,0.011788,0.010766,0.674289,0.738295
0.300000,-0.298214,0.030781,0.010735,0.011632,0.010637,0.674764,0.737865
0.316667,-0.314805,0.032276,0.011263,0.011523,0.010547,0.675095,0.737565
0.333333,-0.331405,0.033678,0.011762,0.011396,0.010441,0.675482,0.737215
0.350000,-0.348005,0.035080,0.012261,0.011181,0.010263,0.676131,0.736625
0.366667,-0.364605,0.036482,0.012760,0.010966,0.010084,0.676780,0.736034
0.383333,-0.381205,0.037884,0.013259,0.010752,0.009904,0.677429,0.735443
0.400000,-0.397805,0.039286,0.013757,0.010579,0.009758,0.677953,0.734964
0.416667,-0.414408,0.040662,0.014248,0.010474,0.009670,0.678271,0.734673
0.433333,-0.431021,0.041921,0.014701,0.010368,0.009581,0.678589,0.734382
0.450000,-0.447634,0.043180,0.015154,0.010163,0.009407,0.679206,0.733817
0.466667,-0.464246,0.044439,0.015607,0.009956,0.009231,0.679830,0.733244
0.483333,-0.480859,0.045698,0.016060,0.009749,0.009054,0.680453,0.732671
0.500000,-0.497472,0.046957,0.016513,0.009561,0.008893,0.681020,0.732148
0.516667,-0.514085,0.048216,0.016966,0.009459,0.008806,0.681325,0.731867
0.533333,-0.530709,0.049340,0.017375,0.009357,0.008718,0.681631,0.731585
0.550000,-0.547333,0.050461,0.017784,0.009179,0.008564,0.682165,0.731091
0.566667,-0.563957,0.051582,0.018192,0.008979,0.008392,0.682763,0.730536
0.583333,-0.580580,0.052703,0.018600,0.008779,0.008218,0.683361,0.729981
0.600000,-0.597204,0.053823,0.019009,0.008579,0.008045,0.683958,0.729426
0.616667,-0.613828,0.054944,0.019417,0.008479,0.007957,0.684258,0.729147
0.633333,-0.630460,0.055961,0.019791,0.008381,0.007871,0.684551,0.728874
0.650000,-0.647093,0.056949,0.020156,0.008227,0.007736,0.685008,0.728448
0.666667,-0.663726,0.057937,0.020521,0.008034,0.007567,0.685581,0.727912
0.683333,-0.680360,0.058925,0.020886,0.007842,0.007397,0.686154,0.727376
0.700000,-0.696993,0.059913,0.021251,0.007649,0.007227,0.686726,0.726840
0.716667,-0.713626,0.060901,0.021616,0.007533,0.007124,0.687071,0.726517
0.733333,-0.730264,0.061814,0.021956,0.007438,0.007040,0.687351,0.726253
0.750000,-0.746906,0.062674,0.022279,0.007308,0.006924,0.687736,0.725891
0.766667,-0.763547,0.063534,0.022602,0.007122,0.006758,0.688284,0.725375
0.783333,-0.780188,0.064394,0.022924,0.006937,0.006592,0.688832,0.724858
0.800000,-0.796830,0.065254,0.023247,0.006751,0.006425,0.689379,0.724341
0.816667,-0.813471,0.066114,0.023570,0.006621,0.006308,0.689763,0.723978
0.833333,-0.830115,0.066926,0.023877,0.006530,0.006226,0.690030,0.723724
0.850000,-0.846763,0.067663,0.024159,0.006422,0.006128,0.690349,0.723422
0.866667,-0.863411,0.068400,0.024440,0.006243,0.005966,0.690872,0.722925
0.883333,-0.880059,0.069137,0.024722,0.006064,0.005804,0.691395,0.722428
0.900000,-0.896707,0.069875,0.025004,0.005886,0.005641,0.691918,0.721930
0.916667,-0.913355,0.070612,0.025286,0.005743,0.005510,0.692336,0.721532
0.933333,-0.930004,0.071326,0.025560,0.005655,0.005430,0.692591,0.721288
0.950000,-0.946657,0.071946,0.025803,0.005567,0.005350,0.692848,0.721043
0.966667,-0.963311,0.072566,0.026045,0.005395,0.005191,0.693346,0.720565
0.983333,-0.979964,0.073185,0.026287,0.005223,0.005033,0.693845,0.720088
1.000000,-0.996617,0.073805,0.026530,0.005052,0.004874,0.694343,0.719610
1.016667,-1.013271,0.074425,0.026772,0.004898,0.004732,0.694790,0.719180
1.033333,-1.029924,0.075044,0.027014,0.004814,0.004653,0.695033,0.718946
1.050000,-1.046582,0.075551,0.027218,0.004729,0.004575,0.695276,0.718712
1.066667,-1.063240,0.076059,0.027422,0.004579,0.004435,0.695707,0.718297
1.083333,-1.079897,0.076566,0.027626,0.004414,0.004281,0.696182,0.717839
1.100000,-1.096555,0.077074,0.027830,0.004250,0.004127,0.696655,0.717382
1.116667,-1.113213,0.077581,0.028034,0.004085,0.003973,0.697127,0.716925
1.133333,-1.129870,0.078088,0.028238,0.004005,0.003897,0.697358,0.716701
1.150000,-1.146531,0.078509,0.028412,0.003924,0.003820,0.697589,0.716477
1.166667,-1.163192,0.078909,0.028579,0.003795,0.003699,0.697956,0.716121
1.183333,-1.179853,0.079309,0.028746,0.003637,0.003549,0.698406,0.715684
1.200000,-1.196514,0.079709,0.028913,0.003478,0.003399,0.698855,0.715246
1.216667,-1.213175,0.080110,0.029081,0.003320,0.003248,0.699305,0.714809
1.233333,-1.229836,0.080510,0.029248,0.003228,0.003160,0.699566,0.714553
1.250000,-1.246498,0.080847,0.029392,0.003151,0.003086,0.699785,0.714340
1.266667,-1.263162,0.081145,0.029524,0.003041,0.002982,0.700093,0.714039
1.283333,-1.279825,0.081444,0.029655,0.002889,0.002836,0.700519,0.713623
1.300000,-1.296489,0.081742,0.029787,0.002738,0.002691,0.700944,0.713206
1.316667,-1.313152,0.082041,0.029918,0.002586,0.002545,0.701370,0.712789
1.333333,-1.329816,0.082339,0.030049,0.002483,0.002445,0.701659,0.712504
1.350000,-1.346480,0.082596,0.030166,0.002409,0.002374,0.701866,0.712301
1.366667,-1.363145,0.082798,0.030263,0.002318,0.002286,0.702119,0.712052
1.383333,-1.379810,0.083000,0.030360,0.002173,0.002145,0.702521,0.711657
1.400000,-1.396475,0.083201,0.030457,0.002028,0.002004,0.702923,0.711260
1.416667,-1.413141,0.083403,0.030554,0.001883,0.001863,0.703324,0.710864
1.433333,-1.429806,0.083605,0.030651,0.001770,0.001752,0.703637,0.710555
1.450000,-1.446471,0.083785,0.030740,0.001699,0.001683,0.703832,0.710362
1.466667,-1.463137,0.083896,0.030804,0.001625,0.001611,0.704035,0.710162
1.483333,-1.479804,0.084006,0.030868,0.001486,0.001475,0.704413,0.709787
1.500000,-1.496470,0.084116,0.030932,0.001347,0.001339,0.704792,0.709412
1.516667,-1.513136,0.084227,0.030996,0.001209,0.001202,0.705170,0.709037
1.533333,-1.529802,0.084337,0.031060,0.001087,0.001082,0.705502,0.708707
1.550000,-1.546468,0.084444,0.031123,0.001019,0.001015,0.705685,0.708524
1.566667,-1.563135,0.084468,0.031155,0.000951,0.000948,0.705868,0.708342
1.583333,-1.579802,0.084492,0.031187,0.000829,0.000827,0.706197,0.708014
1.600000,-1.596468,0.084516,0.031219,0.000696,0.000695,0.706552,0.707660
1.616667,-1.613135,0.084541,0.031252,0.000564,0.000564,0.706907,0.707306
1.633333,-1.629801,0.084565,0.031284,0.000435,0.000435,0.707253,0.706960
1.650000,-1.646468,0.084589,0.031316,0.000370,0.000370,0.707425,0.706788
1.666667,-1.663135,0.084545,0.031322,0.000305,0.000306,0.707596,0.706617
1.683333,-1.679801,0.084488,0.031324,0.000200,0.000201,0.707873,0.706340
1.700000,-1.696468,0.084431,0.031326,0.000074,0.000074,0.708204,0.706007
1.716667,-1.713134,0.084375,0.031328,-0.000052,-0.000052,0.708536,0.705675
1.733333,-1.729801,0.084318,0.031329,-0.000178,-0.000179,0.708867,0.705342
1.750000,-1.746467,0.084261,0.031331,-0.000249,-0.000251,0.709053,0.705155
1.766667,-1.763134,0.084155,0.031314,-0.000311,-0.000313,0.709213,0.704994
1.783333,-1.779800,0.084023,0.031287,-0.000399,-0.000402,0.709441,0.704764
1.800000,-1.796466,0.083890,0.031259,-0.000519,-0.000523,0.709750,0.704453
1.816667,-1.813132,0.083758,0.031232,-0.000639,-0.000645,0.710059,0.704142
1.833333,-1.829798,0.083626,0.031205,-0.000759,-0.000766,0.710367,0.703831
