timestamp,tx,ty,tz,qx,qy,qz,qw
0.000000,0.000000,0.000000,0.000000,0.023369,0.023160,0.703538,0.709896
0.016667,-0.016630,0.000150,0.001096,0.023369,0.023160,0.703538,0.709896
0.033333,-0.033260,0.000299,0.002192,0.023045,0.022810,0.703110,0.710341
0.050000,-0.049890,0.000449,0.003288,0.022366,0.022081,0.702215,0.711271
0.066667,-0.066520,0.000598,0.004384,0.021837,0.021516,0.701517,0.711993
0.083333,-0.083150,0.000748,0.005481,0.021412,0.021064,0.700958,0.712569
0.100000,-0.099779,0.000898,0.006577,0.020833,0.020449,0.700196,0.713354
0.116667,-0.116413,0.001191,0.007562,0.020252,0.019835,0.699432,0.714137
0.133333,-0.133052,0.001705,0.008377,0.019670,0.019223,0.698667,0.714918
0.150000,-0.149690,0.002219,0.009192,0.018682,0.018187,0.697318,0.716288
0.166667,-0.166329,0.002733,0.010007,0.017572,0.017033,0.695793,0.717825
0.183333,-0.182968,0.003247,0.010822,0.016456,0.015882,0.694264,0.719357
0.200000,-0.199607,0.003760,0.011637,0.015570,0.014975,0.693036,0.720579
0.216667,-0.216246,0.004274,0.012452,0.015040,0.014434,0.692275,0.721333
0.233333,-0.232881,0.005064,0.013072,0.014509,0.013894,0.691512,0.722085
0.250000,-0.249515,0.005935,0.013634,0.013913,0.013292,0.690648,0.722935
0.266667,-0.266150,0.006806,0.014197,0.012908,0.012279,0.689130,0.724419
0.283333,-0.282784,0.007677,0.014760,0.011898,0.011270,0.687608,0.725897
0.300000,-0.299419,0.008548,0.015323,0.010884,0.010266,0.686082,0.727370
0.316667,-0.316053,0.009418,0.015886,0.010284,0.009675,0.685150,0.728266
0.333333,-0.332685,0.010336,0.016419,0.009806,0.009206,0.684390,0.728992
0.350000,-0.349304,0.011557,0.016758,0.009327,0.008738,0.683630,0.729717
0.366667,-0.365922,0.012777,0.017098,0.008648,0.008076,0.682512,0.730779
0.383333,-0.382541,0.013998,0.017438,0.007747,0.007205,0.680999,0.732208
0.400000,-0.399159,0.015218,0.017777,0.006842,0.006337,0.679482,0.733633
0.416667,-0.415777,0.016439,0.018117,0.006000,0.005535,0.678065,0.734957
0.433333,-0.432396,0.017659,0.018457,0.005576,0.005134,0.677310,0.735659
0.450000,-0.449002,0.019043,0.018704,0.005152,0.004733,0.676554,0.736360
0.466667,-0.465595,0.020607,0.018849,0.004727,0.004334,0.675797,0.737060
0.483333,-0.482187,0.022170,0.018994,0.004009,0.003662,0.674442,0.738308
0.500000,-0.498780,0.023733,0.019139,0.003217,0.002927,0.672935,0.739689
0.516667,-0.515372,0.025296,0.019285,0.002422,0.002194,0.671425,0.741065
0.533333,-0.531965,0.026859,0.019430,0.001829,0.001652,0.670277,0.742107
0.550000,-0.548557,0.028422,0.019575,0.001461,0.001317,0.669526,0.742786
0.566667,-0.565122,0.030255,0.019587,0.001092,0.000983,0.668774,0.743464
0.583333,-0.581680,0.032153,0.019567,0.000689,0.000619,0.667940,0.744214
0.600000,-0.598239,0.034052,0.019546,0.000011,0.000010,0.666445,0.745554
0.616667,-0.614797,0.035951,0.019525,-0.000669,-0.000596,0.664947,0.746890
0.633333,-0.631355,0.037850,0.019505,-0.001352,-0.001199,0.663445,0.748223
0.650000,-0.647913,0.039749,0.019484,-0.001736,-0.001536,0.662549,0.749015
0.666667,-0.664467,0.041684,0.019448,-0.002048,-0.001808,0.661803,0.749673
0.683333,-0.680983,0.043911,0.019290,-0.002359,-0.002079,0.661055,0.750331
0.700000,-0.697499,0.046139,0.019131,-0.002772,-0.002435,0.660012,0.751246
0.716667,-0.714016,0.048367,0.018973,-0.003335,-0.002919,0.658525,0.752546
0.733333,-0.730532,0.050595,0.018815,-0.003901,-0.003400,0.657035,0.753842
0.750000,-0.747048,0.052823,0.018656,-0.004434,-0.003850,0.655625,0.755064
0.766667,-0.763564,0.055051,0.018498,-0.004686,-0.004061,0.654884,0.755704
0.783333,-0.780061,0.057409,0.018296,-0.004939,-0.004272,0.654142,0.756343
0.800000,-0.796530,0.059959,0.018027,-0.005193,-0.004482,0.653400,0.756982
0.816667,-0.812998,0.062510,0.017759,-0.005576,-0.004797,0.652160,0.758046
0.833333,-0.829466,0.065061,0.017491,-0.006023,-0.005161,0.650682,0.759309
