timestamp,tx,ty,tz,qx,qy,qz,qw
0.000000,0.000000,0.000000,0.000000,0.000753,0.000780,0.719290,0.694709
0.016667,-0.016657,-0.000579,0.000036,0.000747,0.000773,0.719185,0.694818
0.033333,-0.033313,-0.001159,0.000072,0.000659,0.000679,0.717713,0.696339
0.050000,-0.049970,-0.001738,0.000108,0.000593,0.000609,0.716607,0.697477
0.066667,-0.066626,-0.002317,0.000145,0.000541,0.000554,0.715745,0.698361
0.083333,-0.083283,-0.002896,0.000181,0.000499,0.000511,0.715055,0.699068
0.100000,-0.099940,-0.003445,0.000215,0.000436,0.000445,0.714008,0.700138
0.116667,-0.116606,-0.003526,0.000221,0.000373,0.000380,0.712959,0.701206
0.133333,-0.133273,-0.003606,0.000227,0.000305,0.000309,0.711824,0.702358
0.150000,-0.149939,-0.003687,0.000232,0.000234,0.000236,0.710653,0.703542
0.166667,-0.166606,-0.003767,0.000238,0.000163,0.000164,0.709480,0.704725
0.183333,-0.183272,-0.003848,0.000244,0.000095,0.000096,0.708370,0.705842
0.200000,-0.199939,-0.003928,0.000250,0.000088,0.000088,0.708250,0.705961
0.216667,-0.216605,-0.003969,0.000253,0.000080,0.000081,0.708131,0.706081
0.233333,-0.233272,-0.003993,0.000255,0.000072,0.000072,0.707991,0.706222
0.250000,-0.249939,-0.004017,0.000258,0.000061,0.000061,0.707814,0.706399
0.266667,-0.266605,-0.004041,0.000260,0.000049,0.000050,0.707637,0.706576
0.283333,-0.283272,-0.004065,0.000262,0.000038,0.000038,0.707460,0.706754
0.300000,-0.299939,-0.004090,0.000264,0.000032,0.000033,0.707368,0.706846
0.316667,-0.316605,-0.004104,0.000266,0.000029,0.000029,0.707310,0.706903
0.333333,-0.333272,-0.004101,0.000267,0.000025,0.000025,0.707252,0.706962
0.350000,-0.349939,-0.004098,0.000267,0.000019,0.000019,0.707161,0.707053
0.366667,-0.366605,-0.004095,0.000268,0.000013,0.000013,0.707069,0.707145
0.383333,-0.383272,-0.004092,0.000268,0.000007,0.000007,0.706978,0.707236
0.400000,-0.399939,-0.004089,0.000269,0.000003,0.000003,0.706907,0.707306
0.416667,-0.416605,-0.004086,0.000269,0.000000,0.000000,0.706873,0.707340
0.433333,-0.433272,-0.004067,0.000269,-0.000002,-0.000002,0.706839,0.707374
0.450000,-0.449939,-0.004048,0.000268,-0.000005,-0.000005,0.706791,0.707423
0.466667,-0.466605,-0.004029,0.000268,-0.000009,-0.000009,0.706735,0.707478
0.483333,-0.483272,-0.004010,0.000267,-0.000013,-0.000013,0.706679,0.707534
0.500000,-0.499939,-0.003991,0.000267,-0.000017,-0.000017,0.706624,0.707589
0.516667,-0.516605,-0.003972,0.000266,-0.000018,-0.000018,0.706602,0.707611
0.533333,-0.533272,-0.003946,0.000265,-0.000020,-0.000020,0.706580,0.707633
0.550000,-0.549938,-0.003917,0.000264,-0.000021,-0.000021,0.706553,0.707660
0.566667,-0.566605,-0.003887,0.000263,-0.000024,-0.000024,0.706516,0.707697
0.583333,-0.583272,-0.003858,0.000262,-0.000027,-0.000027,0.706478,0.707735
0.600000,-0.599938,-0.003829,0.000260,-0.000029,-0.000029,0.706441,0.707772
0.616667,-0.616605,-0.003800,0.000259,-0.000031,-0.000031,0.706418,0.707795
0.633333,-0.633272,-0.003768,0.000258,-0.000032,-0.000032,0.706403,0.707810
