x,y
1.783021212090135066e+02,5.643281524174017250e+02
1.615605495308984416e+02,5.615250671076962590e+02
1.458892313854634608e+02,5.558368905781801459e+02
1.324526709346731650e+02,5.459552084239555825e+02
1.221513166240324892e+02,5.324893989000075862e+02
1.157105811429317441e+02,5.168422354180861475e+02
1.135279233745334722e+02,5.002576714760673440e+02
1.153612851941916375e+02,4.836694807143295520e+02
1.196660393812117178e+02,4.673808487718359856e+02
1.251070800245782095e+02,4.515046775165909025e+02
1.312576570451663827e+02,4.359400594690658863e+02
1.378144116330194038e+02,4.205570432378358419e+02
1.444739849781805390e+02,4.052256774314762424e+02
1.509417098254857876e+02,3.898196559822214908e+02
1.571202316770535390e+02,3.742954277355028125e+02
1.631080788965066404e+02,3.586915967375797436e+02
1.690121854183626624e+02,3.430502924139084371e+02
1.749394851771392325e+02,3.274136441899449892e+02
1.809862658149864103e+02,3.118196945504240603e+02
1.871581691417442528e+02,2.962716885003073344e+02
1.934150051169690414e+02,2.807552769330288243e+02
1.997162293201376997e+02,2.652559747011994773e+02
2.060212973307272648e+02,2.497592966574300704e+02
2.122896647282147740e+02,2.342507576543314087e+02
2.184807870920772359e+02,2.187158725445144682e+02
2.245541200017916310e+02,2.031401561805901679e+02
2.304691190368349680e+02,1.875091234151691424e+02
2.361852397766842557e+02,1.718082891008624529e+02
2.416645348890698699e+02,1.560240625700846522e+02
2.469742945194178105e+02,1.401790986691540866e+02
2.523210423132846927e+02,1.243440065461775816e+02
2.579208656686225254e+02,1.085926892624950284e+02
2.639898519833834030e+02,9.299904987944653101e+01
2.707440886555192492e+02,7.763699145837200888e+01
2.784008511184825352e+02,6.258444138123412870e+01
2.872480755924941036e+02,4.815868154535775858e+01
2.976828667310598462e+02,3.504678816591658119e+01
3.101098449781312070e+02,2.396651100872323070e+01
3.246208359509853381e+02,1.546564374953748455e+01
3.406438216148442280e+02,9.731282693547914420e+00
3.574926086955165943e+02,6.951198552215687165e+00
3.742501992572265976e+02,7.680025883508074358e+00
3.899073928637130848e+02,1.261931008879219185e+01
4.040757213799682290e+02,2.149709436101973736e+01
4.171565298412007223e+02,3.280271057498001142e+01
4.292186357558284158e+02,4.529501417344535241e+01
4.389897977266724070e+02,5.895514477955673982e+01
4.449145877198017729e+02,7.402885353588743556e+01
4.468772363339350022e+02,9.041567888469819536e+01
4.477141128420358882e+02,1.073052215934920781e+02
4.503877629598627550e+02,1.238590155850729531e+02
4.553108380684609529e+02,1.398764099886682573e+02
4.613400217760622013e+02,1.555460141931752958e+02
4.678232508720732312e+02,1.709467079345541833e+02
4.752466389543321839e+02,1.859026810959139482e+02
4.837757160686394400e+02,2.003349586714347197e+02
4.930425088111435912e+02,2.143128343881348599e+02
5.027995771129021705e+02,2.278983668125380007e+02
5.129831873648116698e+02,2.411349539797950001e+02
5.235409209050305890e+02,2.540648445755526836e+02
