x,y,z
1.549476871967497793e+01,4.904111148211677573e+01,-4.574179369290455099e+00
1.403989662170276098e+01,4.879751842623556968e+01,-2.940331755702575212e+00
1.267803144281735328e+01,4.830320585629021224e+01,-1.426673945776759433e+00
1.151037064797537646e+01,4.744447025346717339e+01,0.000000000000000000e+00
1.061516479478368069e+01,4.627426766259511481e+01,1.363061954206046478e+00
1.005545352501547995e+01,4.491450156655912451e+01,2.638554321747330622e+00
9.865776716426712056e+00,4.347327371769350890e+01,3.818788615732824354e+00
1.002509909118290032e+01,4.203173069179941734e+01,4.919003796911989745e+00
1.039918982028162375e+01,4.061621985548700309e+01,5.954016922499948627e+00
1.087202584596460575e+01,3.923655258015714509e+01,6.912110958980298037e+00
1.140652183389985019e+01,3.788395982791630701e+01,7.797713386523912327e+00
1.197631536861251789e+01,3.654714859371621571e+01,8.615595344999489313e+00
1.255504403462778029e+01,3.521482587250864071e+01,9.368849615031090039e+00
1.311710072790745585e+01,3.387601544429884370e+01,1.006018727939649793e+01
1.365402517092782730e+01,3.252693263696435366e+01,1.069254806024511417e+01
1.417437965221531293e+01,3.117093221019269933e+01,1.126871540242386871e+01
1.468745691922798891e+01,2.981167528533964983e+01,1.179128644322065256e+01
1.520254971942393851e+01,2.845282298376096364e+01,1.226280623738538722e+01
1.572802561868269855e+01,2.709768126445750624e+01,1.268585089206973926e+01
1.626437490022714627e+01,2.574653212408212255e+01,1.306303086410445502e+01
1.680810497867867070e+01,2.439812859997353911e+01,1.339694521285690954e+01
1.735569247240491464e+01,2.305121190728307923e+01,1.369019103648692592e+01
1.790361399977352974e+01,2.170452326116205910e+01,1.394537476146440724e+01
1.844834617915216413e+01,2.035680387676179848e+01,1.416511767497688012e+01
1.898636562890847657e+01,1.900679496923362422e+01,1.435205684414640714e+01
1.951414896741010452e+01,1.765323775372887027e+01,1.450884252774395122e+01
2.002817281302469965e+01,1.629487344539883154e+01,1.463813317959169247e+01
2.052491378411991718e+01,1.493044325939484729e+01,1.474258913673996574e+01
2.100107419061186675e+01,1.355876614274035319e+01,1.482486610988459930e+01
2.146250166478568033e+01,1.218181084152598537e+01,1.488760480109467466e+01
2.192714347558771237e+01,1.080571341522198203e+01,1.493342324691634104e+01
2.241377799891052192e+01,9.436896170166445330e+00,1.496494546438256990e+01
2.294118361064666800e+01,8.081781412697495171e+00,1.498480431563262805e+01
2.352813868668869901e+01,6.746791449153235476e+00,1.499562218581586492e+01
2.419352484530893577e+01,5.438698306429666118e+00,1.500000000000000000e+01
2.496236425174067008e+01,4.185074340843432772e+00,1.500055387949709029e+01
2.586916600055809923e+01,3.045627686962524283e+00,1.500000000000000000e+01
2.694909232177714387e+01,2.082732064989802012e+00,1.500041349155980264e+01
2.821012302344834666e+01,1.343991711231846908e+00,1.500151692869522257e+01
2.960254872975346530e+01,8.456656245022746710e-01,1.500242911537558044e+01
3.106673803525270117e+01,6.040714107089198981e-01,1.500221393531958647e+01
